ags,60957390,10048,-26,391,-119,99,32
ags,60957410,9931,22,421,-68,45,151
ags,60957430,9843,51,323,-135,2,-104
ags,60957450,9931,-123,440,-28,-31,78
ags,60957470,10077,-231,499,148,41,-19
ags,60957490,9940,-289,430,102,145,-116
ags,60957510,9804,71,518,-104,164,-229
ags,60957530,9931,-84,382,-135,106,-290
ags,60957550,10038,42,323,-46,206,-376
ags,60957570,10009,-94,440,-52,429,-440
ags,60957590,9872,-211,440,-129,576,-629
ags,60957610,10292,188,-1404,-132,942,-980
ags,60957630,10380,227,665,-46,991,-336
ags,60957650,10302,42,440,44,1116,154
ags,60957670,9472,-153,636,142,954,917
ags,60957690,9755,22,225,-174,1219,508
ags,60957710,10058,305,753,-10,621,-80
ags,60957730,10106,51,538,-229,804,173
ags,60957750,10097,12,421,-342,850,-122
ags,60957770,9579,-436,684,-226,859,-40
ags,60957790,9589,71,5919,603,-650,1628
ags,60957810,10058,-192,577,-238,316,-687
ags,60957830,10194,-16,636,8,383,75
ags,60957850,9413,-143,245,105,-821,716
ags,60957870,9989,-192,694,-107,41,603
ags,60957890,9814,-221,636,54,234,78
ags,60957910,10009,-55,636,-7,267,-153
ags,60957930,8847,42,1632,-71,-431,-330
ags,60957950,10097,2,831,279,-357,-1212
ags,60957970,10028,-163,577,292,-128,-1072
ags,60957990,9657,364,694,176,-415,-571
ags,60958010,10067,266,645,69,99,-122
ags,60958030,9853,198,860,-64,-61,524
ags,60958050,9843,-75,772,-190,-180,334
ags,60958070,9950,-65,655,-34,-138,-354
ags,60958090,9901,-6,577,124,-138,-617
ags,60958110,10106,-123,675,200,-269,-1007
ags,60958130,9931,169,723,191,-360,-739
ags,60958150,10019,227,753,139,-574,-3
ags,60958170,9980,90,675,154,-580,182
ags,60958190,10058,139,567,224,-470,75
ags,60958210,10038,247,538,102,-275,368
ags,60958230,10067,90,479,234,-31,649
ags,60958250,9862,61,548,270,23,112
ags,60958270,9882,139,616,157,-238,72
ags,60958290,9755,247,665,191,-403,212
ags,60958310,9940,-55,645,246,-119,475
ags,60958330,9794,-163,587,264,-3,78
ags,60958350,9843,-153,577,57,197,-257
ags,60958370,9960,198,489,185,99,-217
ags,60958390,9999,-45,626,112,-22,145
ags,60958410,9989,198,470,191,136,-10
ags,60958430,9931,81,518,72,38,127
ags,60958450,10146,-211,548,145,84,249
ags,60958470,9833,42,880,173,-55,389
ags,60958490,9589,403,772,11,-418,17
ags,60958510,10116,90,733,-28,-400,-37
ags,60958530,9989,149,596,-34,-263,359
ags,60958550,9814,22,470,-290,-440,698
ags,60958570,10273,-172,460,-61,-104,810
ags,60958590,9970,-75,440,170,-119,667
ags,60958610,9862,-104,616,60,-183,548
ags,60958630,9960,-114,499,-321,-119,588
ags,60958650,9853,61,645,-418,-199,691
ags,60958670,9735,-299,323,-278,29,-55
ags,60958690,9667,-387,606,154,-6,-748
ags,60958710,9833,-221,557,23,-37,-968
ags,60958730,10380,90,499,54,185,-800
ags,60958750,10116,51,762,-190,-73,261
ags,60958770,9784,-163,333,-110,63,212
ags,60958790,9706,-289,313,224,191,-586
ags,60958810,10087,51,596,50,-131,-687
ags,60958830,9970,81,577,-19,-138,-421
ags,60958850,9833,22,528,160,38,-385
ags,60958870,9814,51,450,17,157,-693
ags,60958890,10058,-84,401,124,423,-785
ags,60958910,10106,22,557,347,493,-415
ags,60958930,9892,335,655,285,167,148
ags,60958950,9687,159,753,-281,234,-168
ags,60958970,9970,-45,411,-284,194,-263
ags,60958990,10273,-6,509,-184,231,51
ags,60959010,10185,266,743,-147,-199,673
ags,60959030,9833,188,684,-174,-92,755
ags,60959050,9696,-143,470,2,93,292
ags,60959070,9882,-114,528,93,164,-183
ags,60959090,10292,-123,430,32,240,-190
ags,60959110,10009,71,723,47,93,-43
ags,60959130,10019,139,587,-89,60,206
ags,60959150,9901,22,518,-116,-12,200
ags,60959170,10058,-6,567,-43,35,289
