ags,36008900,9745,-4889,5157
ags,36009000,7948,-3161,3653
ags,36009100,6298,-3795,3702
ags,36009200,7099,-5602,3751
ags,36009300,7782,-4684,2862
ags,36009400,9179,-6090,2686
ags,36009500,8866,-6032,3526
ags,36009600,7294,-4498,3829
ags,36009700,8603,-3561,3917
ags,36009800,6405,-4391,2110
ags,36009900,7216,-5377,2345
ags,36010000,8192,-6071,2677
ags,36010100,8905,-6247,2598
ags,36010200,10116,-3854,3507
ags,36010300,8954,-3151,2218
ags,36010400,6366,-4596,2901
ags,36010500,7401,-4870,1446
ags,36010600,7929,-5250,1544
ags,36010700,9755,-5436,2452
ags,36010800,10741,-4918,4512
ags,36010900,6200,-4547,2540
ags,36011000,9179,-3688,2647
ags,36011100,6981,-4909,1407
ags,36011200,8378,-6217,2237
ags,36011300,9892,-5573,2735
ags,36011400,10302,-4538,2511
ags,36011500,8925,-2877,1221
ags,36011600,7519,-3571,2042
ags,36011700,6171,-4723,1846
ags,36011800,8017,-4772,1300
ags,36011900,9296,-6051,1846
ags,36012000,10917,-5768,4073
ags,36012100,6581,-4528,2960
ags,36012200,8603,-3131,3145
ags,36012300,6689,-4450,2120
ags,36012400,7870,-5436,2647
ags,36012500,8603,-5065,4054
ags,36012600,10067,-4645,4278
ags,36012700,10673,-3112,3682
ags,36012800,8505,-807,2960
ags,36012900,7099,-2350,4210
ags,36013000,7919,-2623,3897
ags,36013100,8651,-3082,3341
ags,36013200,10605,-2848,5470
ags,36013300,7040,-3952,5792
ags,36013400,6786,-3092,7052
ags,36013500,2265,-3268,4747
ags,36013600,4335,-3024,6407
ags,36013700,6239,-3756,7296
ags,36013800,8593,-1207,9122
ags,36013900,8856,1047,8682
ags,36014000,5302,559,5938
ags,36014100,2929,90,7550
ags,36014200,3681,-778,6104
ags,36014300,9843,110,9259
ags,36014400,565,-1881,12442
ags,36014500,-1592,-1344,10128
ags,36014600,-508,-582,10186
ags,36014700,341,-1081,7882
ags,36014800,946,-3961,6886
ags,36014900,1034,-7565,9425
ags,36015000,-586,-9899,9874
ags,36015100,-2461,-8268,6622
ags,36015200,-5391,-3942,-252
ags,36015300,-5391,-7350,2305
ags,36015400,-7383,-9489,1807
ags,36015500,-9941,-7907,3770
ags,36015600,-12021,-7497,2462
ags,36015700,-7607,-5651,2413
ags,36015800,-5967,-6442,3477
ags,36015900,-2910,-4196,1563
ags,36016000,-6445,-7692,3106
ags,36016100,-8818,-10944,3800
ags,36016200,-5107,-9557,3223
ags,36016300,-3877,-6754,684
ags,36016400,-2529,-5748,-848
ags,36016500,-3955,-9528,-321
ags,36016600,-3877,-11432,-828
ags,36016700,-5537,-10963,-1668
ags,36016800,-5889,-8590,-3026
ags,36016900,-5039,-7907,-1961
ags,36017000,-2422,-6364,-1131
ags,36017100,-2109,-8307,-2762
ags,36017200,-3818,-12047,-3094
ags,36017300,-5117,-11901,-1258
ags,36017400,-4209,-7975,1124
ags,36017500,-5059,-6481,-1102
ags,36017600,-3935,-5446,-2274
ags,36017700,-4053,-8512,-3924
ags,36017800,-6016,-11276,-4793
ags,36017900,-7978,-10377,-5252
ags,36018000,-5518,-6041,-2684
ags,36018100,-4082,-7584,-2772
ags,36018200,-2676,-6168,-1688
ags,36018300,-4971,-10075,-3797
ags,36018400,-6494,-9694,-2010
ags,36018500,-6836,-9743,-975
ags,36018600,-6152,-8434,-1063
ags,36018700,-3516,-5651,-2850
ags,36018800,-2617,-6715,-2176
ags,36018900,-4199,-10543,-1541
ags,36019000,-7939,-11207,-2537
ags,36019100,-5605,-8502,-1522
ags,36019200,-6074,-8102,-1502
ags,36019300,-3398,-5651,538
ags,36019400,-4717,-6745,-1092
ags,36019500,-7197,-10377,-1561
ags,36019600,-6855,-9997,-740
ags,36019700,-4648,-4997,6866
ags,36019800,-2871,-1608,9425
ags,36019900,-2002,-1071,7882
ags,36020000,-1826,-2702,8819
ags,36020100,-2236,-2848,11837
ags,36020200,-2715,-1022,11602
ags,36020300,-3603,61,8907
ags,36020400,-664,999,7218
ags,36020500,273,1047,7061
ags,36020600,-1016,-114,9903
ags,36020700,-723,442,12979
ags,36020800,-185,2268,13184
ags,36020900,136,2766,10294
ags,36021000,-1533,979,7159
ags,36021100,-1523,1106,7266
ags,36021200,-908,520,10665
ags,36021300,-1211,1672,12813
ags,36021400,-2012,2688,10352
ags,36021500,731,3499,8302
ags,36021600,185,1252,6534
ags,36021700,38,81,8575
ags,36021800,712,842,12589
ags,36021900,155,969,12823
ags,36022000,390,1692,10147
ags,36022100,478,1926,10284
ags,36022200,-762,706,6671
ags,36022300,-586,647,9854
ags,36022400,-2275,627,12471
ags,36022500,-2588,1604,14024
ags,36022600,-2910,1643,8897
ags,36022700,-1269,1086,7179
ags,36022800,-566,422,7764
ags,36022900,-1465,-348,9356
ags,36023000,-996,-123,12950
ags,36023100,-1182,930,12882
ags,36023200,-146,1272,11104
