ags,60948620,9720,-2654,-714,-47,141,-339
ags,60948634,9789,-2595,-538,-56,74,-314
ags,60948648,9779,-2673,-548,-32,58,-272
ags,60948662,9925,-2439,-401,80,190,185
ags,60948676,9652,-2410,-538,-114,-2,106
ags,60948690,9710,-2742,-626,7,6,78
ags,60948704,9759,-2624,-724,123,31,45
ags,60948718,9730,-2615,-694,62,74,-18
ags,60948732,9671,-2439,-528,80,113,-104
ags,60948746,9662,-2566,-607,-23,-8,-263
ags,60948760,9730,-2702,-587,-4,6,-131
ags,60948774,9720,-2644,-636,-23,-17,-46
ags,60948788,9623,-2810,-509,-4,55,-58
ags,60948802,9652,-2576,-499,62,153,-28
ags,60948816,9662,-2517,-528,13,40,-153
ags,60948830,9652,-2497,-587,37,58,-324
ags,60948844,9818,-2488,-587,65,83,-394
ags,60948858,9759,-2615,-646,159,122,-424
ags,60948872,9740,-2595,-421,71,132,-385
ags,60948886,9798,-2488,-597,126,52,-549
ags,60948900,9437,-2829,-616,37,116,-821
ags,60948914,9623,-2605,-646,-175,171,-1221
ags,60948928,9574,-2722,-528,-770,-261,-1557
ags,60948942,9886,-2595,-548,-999,0,-2051
ags,60948956,9925,-2546,-753,-810,-20,-1660
ags,60948970,10043,-2546,-538,-951,-417,-1199
ags,60948984,9906,-1960,-69,-145,-371,-1157
ags,60948998,10111,-2283,-773,4,-243,-678
ags,60949012,9916,-2234,-655,202,-295,-61
ags,60949026,9779,-2546,-812,159,-99,-226
ags,60949040,9388,-2419,-763,440,272,-430
ags,60949054,9486,-2507,-919,916,467,-397
ags,60949068,9808,-2351,-636,1261,467,-330
ags,60949082,10023,-1755,-577,1383,626,-522
ags,60949096,10043,-1443,-128,1499,879,-1358
ags,60949110,9632,-1824,-284,208,403,-1343
ags,60949124,9857,-2283,-528,-29,257,-870
ags,60949138,9925,-2556,-753,101,64,-623
ags,60949152,9876,-2429,-587,248,290,-897
ags,60949166,9964,-1882,-265,217,330,-876
ags,60949180,9740,-1189,-382,123,483,-73
ags,60949194,9798,-2009,-362,-157,299,545
ags,60949208,9691,-2507,-353,-105,92,-327
